serial,Gora,Ten1,Tied,LLord,Furn,DMHSIZE,NumAdult,NumChild,NumDepCh,N1TO4,N5TO10,N11TO15,RESPSEX,RESPAGE,RESPMAR,RESPWith,RESPHldr,RELHRP,HHTypb,HHTYPA,HHTYPe,Parent,ParTod,Cars,CAR,Numcar,FullEd,HighEd,Highed4,Wrking,Qhealth1,SchemeET,JbAway,OwnBus,RelBus,Looked,StartJ,YInAct,DVILO3a,DVILO4a,Stat,SVise,EmpNo,Solo,SENo,FtPtWk,Parthrs,ES2000,NSSECB,nssecac,NSECAC5,NSECAC3,Everwk,sumgross,Nation1,Nation2,Nation3,Nation4,Nation5,Nation6,Ethnic,Paidjob,AGEX,AGEH,DeFact1,DeFacto,LEFTED,TENgrp,DiaryDay,TotUs1,dyear
2005060902129,5,2,-1,-1,-1,4,2,2,2,0,2,0,1,37,2,-1,3,0,2,6,2,2,-1,2,1,-1,19,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,11.1,5,4,3,-1,18,5,-1,-1,-1,-1,-1,1,1,2,6,1,1,3,2,7,39,2005
2005060902130,5,4,2,2,3,1,1,0,0,0,0,0,2,37,3,-1,1,0,1,1,1,2,-1,1,2,1,16,6,2,2,3,2,2,2,2,2,-1,2,3,4,1,2,1,-1,-1,2,1,7,12.2,6,5,3,1,13,1,-1,-1,-1,-1,-1,11,0,2,6,4,6,2,3,2,-1,2005
2005060903301,5,4,2,1,3,4,1,3,3,1,2,0,2,32,1,2,1,0,4,7,4,1,1,2,1,-1,15,5,2,2,2,2,2,2,2,2,-1,2,3,4,1,2,1,-1,-1,1,-1,7,13.1,7,5,3,1,15,1,-1,-1,-1,-1,-1,1,0,2,5,2,3,2,3,1,-1,2005
2005060903302,5,2,-1,-1,-1,3,2,1,1,0,1,0,2,32,2,-1,3,1,2,6,2,1,2,1,3,2,16,5,2,2,1,2,2,2,2,2,-1,2,3,4,2,-1,-1,1,-1,2,1,3,9.1,4,3,2,1,2,1,-1,-1,-1,-1,-1,1,1,2,5,1,1,2,2,3,-1,2005
2005060903303,5,4,2,1,3,1,1,0,0,0,0,0,2,73,1,-1,1,0,1,2,1,2,-1,2,1,-1,14,8,4,2,4,-1,2,2,2,2,-1,6,3,4,1,2,1,-1,-1,1,-1,7,12.1,6,5,3,1,11,1,-1,-1,-1,-1,-1,1,0,5,11,2,3,1,3,4,-1,2005
2005060903304,5,2,-1,-1,-1,4,2,2,2,0,1,1,1,35,2,-1,3,0,2,6,2,1,2,1,3,2,16,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,13.3,7,5,3,-1,98,5,-1,-1,-1,-1,-1,1,2,2,6,1,1,2,2,3,54,2005
2005060903305,5,1,-1,-1,-1,1,1,0,0,0,0,0,1,77,5,-1,1,0,1,2,1,2,-1,1,2,1,18,8,4,2,2,-1,2,2,2,2,-1,6,3,4,2,-1,-1,2,1,1,-1,2,8.1,4,3,2,1,16,5,-1,-1,-1,-1,-1,2,0,6,12,3,4,2,1,1,-1,2005
2005060903308,5,4,2,1,3,1,1,0,0,0,0,0,1,58,1,-1,1,0,1,1,1,2,-1,2,1,-1,15,8,4,2,4,2,2,2,2,2,-1,5,3,4,1,2,2,-1,-1,1,-1,7,12.3,6,5,3,1,11,5,-1,-1,-1,-1,-1,1,0,4,10,2,3,2,3,1,-1,2005
2005060903309,5,4,2,1,3,2,2,0,0,0,0,0,1,74,2,-1,3,0,3,4,3,2,-1,1,2,1,14,8,4,2,2,-1,2,2,2,2,-1,6,3,4,1,1,3,-1,-1,1,-1,6,10,5,4,3,1,1,1,-1,-1,-1,-1,-1,1,0,5,11,1,1,1,3,1,-1,2005
2005060903311,5,4,2,1,3,3,1,2,2,1,0,1,2,37,1,2,1,0,4,6,4,1,1,2,1,-1,16,8,4,2,2,2,2,2,2,2,-1,2,3,4,1,2,2,-1,-1,1,-1,7,12.2,6,5,3,1,13,1,-1,-1,-1,-1,-1,1,0,2,6,2,3,2,3,1,-1,2005
