aprim1,aprim2,aprim3,aprim4,aprim5,aprim6,aprim7,aprim8,aprim9,aprim11,aprim12,aprim13,aprim14,aprim15,aprim16,aprim17,aprim18,aprim19,aprim20,aprim21,aprim22,aprim23,aprim24,aprim25,aprim26,aprim27,aprim28,aprim29,aprim30,aprim41,aprim42,aprim43,aprim44,aprim45,aprim51,aprim52,aprim53,aprim54,aprim55,aprim61,aprim62,aprim63,aprim64,aprim65,aprim71,aprim72,aprim73,aprim74,aprim75,aprim81,aprim82,aprim83,aprim84,aprim85,aprim91,aprim92,aprim93,aprim94,aprim95,aprim99
360,0,30,90,40,30,0,0,0,350,0,0,0,30,0,0,0,70,270,0,0,0,0,90,0,0,0,0,0,0,0,40,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,50,40,50,0,30,60,110,470,0,0,0,0,0,0,0,50,110,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
560,100,30,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0
520,10,20,110,90,60,0,0,0,460,0,0,0,0,90,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
410,0,40,250,150,170,0,0,0,0,0,0,0,0,0,0,0,110,280,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
600,30,20,40,0,0,0,0,0,0,0,0,0,0,0,0,60,180,410,0,0,0,0,30,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0,20,20,20,170,0,0,0,0,0,0,0,0,0,0,0,170,240,160,0,60,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,20,0,30,0,0,0,0,0,0,0,0,0,0,200,0,0,120,300,0,0,60,0,30,0,0,0,0,0,110,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,40,50,30,170,150,0,0,0,0,0,0,0,0,0,0,0,50,0,0,80,0,10,0,0,260,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
